@type xydy
0.194 -0.1305540030723064 0.1947911642900509
0.195 -0.1304774519138398 0.1939943302547736
0.196 -0.1304014858664009 0.1932036659392463
0.197 -0.1303260982095769 0.1924191049770158
0.198 -0.1302512823277622 0.1916405819494279
0.199 -0.1301770317080791 0.1908680323686863
0.2 -0.1301033399383484 0.1901013926612721
0.201 -0.1300302007051095 0.1893406001517167
0.202 -0.1299576077916879 0.1885855930467181
0.203 -0.1298855550763095 0.1878363104195932
0.204 -0.1298140365302593 0.1870926921950567
0.205 -0.1297430462160846 0.1863546791343198
0.206 -0.12967257828584 0.1856222128204999
0.207 -0.1296026269793742 0.1848952356443344
0.208 -0.1295331866226567 0.1841736907901909
0.209 -0.1294642516261435 0.1834575222223669
0.21 -0.1293958164831809 0.1827466746716714
0.211 -0.1293278757684461 0.1820410936222832
0.212 -0.1292604241364235 0.1813407252988768
0.213 -0.1291934563199164 0.1806455166540122
0.214 -0.1291269671285922 0.1799554153557802
0.215 -0.1290609514475606 0.1792703697756989
0.216 -0.1289954042359841 0.1785903289768538
0.217 -0.1289303205257198 0.1779152427022769
0.218 -0.1288656954199916 0.1772450613635595
0.219 -0.1288015240920919 0.1765797360296918
0.22 -0.1287378017841122 0.1759192184161254
0.221 -0.1286745238057016 0.1752634608740529
0.222 -0.1286116855328535 0.1746124163798999
0.223 -0.1285492824067171 0.1739660385250239
0.224 -0.1284873099324372 0.1733242815056166
0.225 -0.1284257636780169 0.1726871001128028
0.226 -0.1283646392732068 0.1720544497229346
0.227 -0.128303932408417 0.1714262862880727
0.228 -0.1282436388336529 0.1708025663266539
0.229 -0.1281837543574739 0.1701832469143385
0.23 -0.1281242748459736 0.1695682856750345
0.231 -0.1280651962217825 0.1689576407720941
0.232 -0.1280065144630915 0.1683512708996794
0.233 -0.1279482256026953 0.1677491352742925
0.234 -0.1278903257270569 0.1671511936264673
0.235 -0.1278328109753906 0.1665574061926187
0.236 -0.1277756775387652 0.1659677337070465
0.237 -0.1277189216592244 0.1653821373940897
0.238 -0.1276625396289269 0.1648005789604285
0.239 -0.1276065277893027 0.1642230205875305
0.24 -0.1275508825302275 0.1636494249242386
0.241 -0.127495600289214 0.1630797550794963
0.242 -0.1274406775506193 0.1625139746152084
0.243 -0.1273861108448682 0.161952047539234
0.244 -0.1273318967476927 0.1613939382985088
0.245 -0.1272780318793862 0.1608396117722938
0.246 -0.1272245129040733 0.1602890332655481
0.247 -0.1271713365289933 0.1597421685024228
0.248 -0.1271184995037986 0.1591989836198734
0.249 -0.1270659986198667 0.1586594451613889
0.25 -0.127013830709626 0.1581235200708338
0.251 -0.1269619926458943 0.1575911756864018
0.252 -0.126910481341231 0.1570623797346786
0.253 -0.1268592937473013 0.1565371003248109
0.254 -0.1268084268542532 0.1560153059427803
0.255 -0.126757877690106 0.1554969654457792
0.256 -0.1267076433201514 0.1549820480566868
0.257 -0.1266577208463654 0.1544705233586433
0.258 -0.1266081074068317 0.1539623612897201
0.259 -0.1265588001751762 0.153457532137684
0.26 -0.1265097963600124 0.1529560065348538
0.261 -0.1264610932043967 0.1524577554530466
0.262 -0.1264126879852947 0.1519627501986131
0.263 -0.126364578013057 0.1514709624075592
0.264 -0.1263167606309054 0.1509823640407523
0.265 -0.1262692332144278 0.1504969273792113
0.266 -0.1262219931710838 0.1500146250194776
0.267 -0.1261750379397182 0.1495354298690657
0.268 -0.1261283649900841 0.149059315141993
0.269 -0.1260819718223751 0.1485862543543849
0.27 -0.1260358559667655 0.1481162213201562
0.271 -0.1259900149829591 0.1476491901467657
0.272 -0.1259444464597463 0.1471851352310426
0.273 -0.1258991480145695 0.1467240312550847
0.274 -0.125854117293096 0.1462658531822243
0.275 -0.1258093519687986 0.145810576253064
0.276 -0.1257648497425441 0.1453581759815777
0.277 -0.1257206083421892 0.1449086281512777
0.278 -0.1256766255221829 0.1444619088114455
0.279 -0.1256328990631769 0.144017994273426
0.28 -0.1255894267716425 0.1435768611069825
0.281 -0.1255462064794944 0.1431384861367126
0.282 -0.125503236043721 0.1427028464385238
0.283 -0.1254605133460213 0.1422699193361664
0.284 -0.1254180362924482 0.1418396823978236
0.285 -0.1253758028130581 0.1414121134327581
0.286 -0.1253338108615664 0.140987190488013
0.287 -0.1252920584150093 0.1405648918451666
0.288 -0.1252505434734111 0.1401451960171401
0.289 -0.1252092640594576 0.1397280817450569
0.29 -0.1251682182181748 0.1393135279951534
0.291 -0.1251274040166135 0.1389015139557383
0.292 -0.1250868195435389 0.1384920190342023
0.293 -0.1250464629091259 0.138085022854075
0.294 -0.1250063322446592 0.137680505252129
0.295 -0.1249664257022384 0.1372784462755303
0.296 -0.1249267414544892 0.136878826179034
0.297 -0.1248872776942776 0.136481625422225
0.298 -0.1248480326344307 0.1360868246668016
0.299 -0.1248090045074609 0.1356944047739027
0.3 -0.1247701915652957 0.1353043468014767
0.301 -0.1247315920790109 0.1349166320016922
0.302 -0.1246932043385696 0.1345312418183887
0.303 -0.1246550266525642 0.1341481578845677
0.304 -0.1246170573479633 0.1337673620199223
0.305 -0.1245792947698631 0.1333888362284064
0.306 -0.124541737281242 0.1330125626958399
0.307 -0.1245043832627203 0.1326385237875525
0.308 -0.1244672311123225 0.1322667020460631
0.309 -0.1244302792452448 0.1318970801887949
0.31 -0.1243935260936255 0.1315296411058261
0.311 -0.1243569701063196 0.1311643678576745
0.312 -0.1243206097486765 0.1308012436731161
0.313 -0.124284443502322 0.1304402519470371
0.314 -0.1242484698649431 0.1300813762383186
0.315 -0.1242126873500769 0.1297246002677529
0.316 -0.1241770944869021 0.129369907915992
0.317 -0.1241416898200345 0.1290172832215263
0.318 -0.1241064719093257 0.1286667103786945
0.319 -0.1240714393296641 0.1283181737357228
0.32 -0.1240365906707806 0.1279716577927934
0.321 -0.1240019245370558 0.1276271472001424
0.322 -0.1239674395473311 0.1272846267561859
0.323 -0.1239331343347228 0.126944081405673
0.324 -0.1238990075464386 0.1266054962378679
0.325 -0.1238650578435971 0.1262688564847571
0.326 -0.1238312839010508 0.1259341475192846
0.327 -0.1237976844072104 0.1256013548536117
0.328 -0.1237642580638736 0.1252704641374034
0.329 -0.1237310035860549 0.1249414611561394
0.33 -0.1236979197018192 0.1246143318294497
0.331 -0.1236650051521171 0.124289062209475
0.332 -0.1236322586906236 0.12396563847925
0.333 -0.123599679083578 0.1236440469511109
0.334 -0.1235672651096279 0.1233242740651261
0.335 -0.1235350155596739 0.1230063063875483
0.336 -0.1235029292367178 0.1226901306092908
0.337 -0.1234710049557127 0.1223757335444237
0.338 -0.123439241543415 0.1220631021286931
0.339 -0.1234076378382396 0.1217522234180607
0.34 -0.1233761926901158 0.1214430845872646
0.341 -0.123344904960347 0.1211356729284002
0.342 -0.1233137735214712 0.1208299758495217
0.343 -0.1232827972571243 0.1205259808732629
0.344 -0.1232519750619048 0.1202236756354778
0.345 -0.1232213058412414 0.1199230478839006
0.346 -0.1231907885112616 0.1196240854768234
0.347 -0.1231604219986629 0.1193267763817941
0.348 -0.1231302052405855 0.1190311086743311
0.349 -0.1231001371844872 0.1187370705366566
0.35 -0.1230702167880198 0.1184446502564475
0.351 -0.1230404430189073 0.1181538362256036
0.352 -0.1230108148548263 0.1178646169390325
0.353 -0.1229813312832878 0.1175769809934519
0.354 -0.1229519913015204 0.117290917086208
0.355 -0.1229227939163561 0.1170064140141104
0.356 -0.1228937381441166 0.1167234606722826
0.357 -0.1228648230105023 0.1164420460530289
0.358 -0.1228360475504819 0.1161621592447158
0.359 -0.1228074108081847 0.11588378943067
0.36 -0.122778911836793 0.1156069258880898
0.361 -0.1227505496984376 0.1153315579869726
0.362 -0.1227223234640938 0.115057675189056
0.363 -0.1226942322134786 0.1147852670467739
0.364 -0.1226662750349505 0.1145143232022261
0.365 -0.1226384510254098 0.1142448333861621
0.366 -0.1226107592902005 0.1139767874169781
0.367 -0.1225831989430136 0.1137101751997282
0.368 -0.1225557691057918 0.1134449867251476
0.369 -0.1225284689086358 0.1131812120686902
0.37 -0.1225012974897111 0.1129188413895778
0.371 -0.1224742539951569 0.1126578649298624
0.372 -0.1224473375789961 0.112398273013501
0.373 -0.1224205474030462 0.1121400560454423
